State,Year,Quarter,District,Registered_users
Andhra Pradesh,2022,2,krishna,2552107
Andhra Pradesh,2022,2,guntur,2514794
Andhra Pradesh,2022,2,chittoor,2392549
Andhra Pradesh,2022,2,anantapur,1928213
Andhra Pradesh,2022,2,kurnool,1825280
Andhra Pradesh,2022,2,west godavari,1714357
Andhra Pradesh,2022,2,spsr nellore,1509927
Andhra Pradesh,2022,2,prakasam,1487589
Andhra Pradesh,2022,3,visakhapatnam,3397514
Andhra Pradesh,2022,3,east godavari,2702234
Andhra Pradesh,2022,3,krishna,2685215
Andhra Pradesh,2022,3,guntur,2647100
Andhra Pradesh,2022,3,chittoor,2517657
Andhra Pradesh,2022,3,anantapur,2030824
Andhra Pradesh,2022,3,kurnool,1924127
Andhra Pradesh,2022,3,west godavari,1805967
Andhra Pradesh,2022,3,spsr nellore,1588875
Andhra Pradesh,2022,3,prakasam,1567520
Andhra Pradesh,2022,4,visakhapatnam,3566854
Andhra Pradesh,2022,4,east godavari,2835087
Andhra Pradesh,2022,4,krishna,2813645
Andhra Pradesh,2022,4,guntur,2774365
Andhra Pradesh,2022,4,chittoor,2636036
Andhra Pradesh,2022,4,anantapur,2128066
Andhra Pradesh,2022,4,kurnool,2018290
Andhra Pradesh,2022,4,west godavari,1893310
Andhra Pradesh,2022,4,spsr nellore,1663684
Andhra Pradesh,2022,4,prakasam,1642503
Andhra Pradesh,2023,1,visakhapatnam,3732544
Andhra Pradesh,2023,1,east godavari,2965296
Andhra Pradesh,2023,1,krishna,2941585
Andhra Pradesh,2023,1,guntur,2900895
Andhra Pradesh,2023,1,chittoor,2755784
Andhra Pradesh,2023,1,anantapur,2228505
Andhra Pradesh,2023,1,kurnool,2114023
Andhra Pradesh,2023,1,west godavari,1980446
Andhra Pradesh,2023,1,spsr nellore,1740294
Andhra Pradesh,2023,1,prakasam,1719910
Andhra Pradesh,2023,2,visakhapatnam,3877504
Andhra Pradesh,2023,2,east godavari,3082893
Andhra Pradesh,2023,2,krishna,3054956
Andhra Pradesh,2023,2,guntur,3014655
Andhra Pradesh,2023,2,chittoor,2865250
Andhra Pradesh,2023,2,anantapur,2323796
Andhra Pradesh,2023,2,kurnool,2202517
Andhra Pradesh,2023,2,west godavari,2059880
Andhra Pradesh,2023,2,spsr nellore,1811781
Andhra Pradesh,2023,2,prakasam,1792637
Andhra Pradesh,2023,3,visakhapatnam,4035323
Andhra Pradesh,2023,3,east godavari,3211557
Andhra Pradesh,2023,3,krishna,3177643
Andhra Pradesh,2023,3,guntur,3137289
Andhra Pradesh,2023,3,chittoor,2981337
Andhra Pradesh,2023,3,anantapur,2421293
Andhra Pradesh,2023,3,kurnool,2295754
Andhra Pradesh,2023,3,west godavari,2146530
Andhra Pradesh,2023,3,spsr nellore,1887005
Andhra Pradesh,2023,3,prakasam,1868997
Andhra Pradesh,2023,4,visakhapatnam,4180797
Andhra Pradesh,2023,4,east godavari,3329036
Andhra Pradesh,2023,4,krishna,3291814
Andhra Pradesh,2023,4,guntur,3251121
Andhra Pradesh,2023,4,chittoor,3089391
Andhra Pradesh,2023,4,anantapur,2512744
Andhra Pradesh,2023,4,kurnool,2383042
Andhra Pradesh,2023,4,west godavari,2227243
Andhra Pradesh,2023,4,spsr nellore,1956706
Andhra Pradesh,2023,4,prakasam,1939979
Andhra Pradesh,2024,1,visakhapatnam,4349723
Andhra Pradesh,2024,1,east godavari,3465605
Andhra Pradesh,2024,1,krishna,3423998
Andhra Pradesh,2024,1,guntur,3382454
Andhra Pradesh,2024,1,chittoor,3214678
Andhra Pradesh,2024,1,anantapur,2619335
Andhra Pradesh,2024,1,kurnool,2484451
Andhra Pradesh,2024,1,west godavari,2319971
Andhra Pradesh,2024,1,spsr nellore,2037823
Andhra Pradesh,2024,1,prakasam,2022873
Andhra Pradesh,2024,2,visakhapatnam,4515738
Andhra Pradesh,2024,2,east godavari,3597667
Andhra Pradesh,2024,2,krishna,3552494
Andhra Pradesh,2024,2,guntur,3508719
Andhra Pradesh,2024,2,chittoor,3335024
Andhra Pradesh,2024,2,anantapur,2720387
Andhra Pradesh,2024,2,kurnool,2580812
Andhra Pradesh,2024,2,west godavari,2409237
Andhra Pradesh,2024,2,spsr nellore,2114324
Andhra Pradesh,2024,2,prakasam,2099814
Arunachal Pradesh,2018,1,papum pare,7649
Arunachal Pradesh,2018,1,west kameng,2202
Arunachal Pradesh,2018,1,east siang,1803
Arunachal Pradesh,2018,1,tawang,1525
Arunachal Pradesh,2018,1,changlang,1208
Arunachal Pradesh,2018,1,lohit,1207
Arunachal Pradesh,2018,1,west siang,846
Arunachal Pradesh,2018,1,namsai,737
Arunachal Pradesh,2018,1,lower dibang valley,601
Arunachal Pradesh,2018,1,upper subansiri,572
Arunachal Pradesh,2018,2,papum pare,11418
Arunachal Pradesh,2018,2,west kameng,3442
Arunachal Pradesh,2018,2,east siang,2646
Arunachal Pradesh,2018,2,tawang,2266
Arunachal Pradesh,2018,2,changlang,2014
Arunachal Pradesh,2018,2,lohit,1898
Arunachal Pradesh,2018,2,namsai,1276
Arunachal Pradesh,2018,2,west siang,1224
Arunachal Pradesh,2018,2,lower dibang valley,893
Arunachal Pradesh,2018,2,upper subansiri,883
Arunachal Pradesh,2018,3,papum pare,16009
Arunachal Pradesh,2018,3,west kameng,4765
Arunachal Pradesh,2018,3,east siang,3590
Arunachal Pradesh,2018,3,tawang,3112
